42,0,4.5,72,75,0,0,1,8,0,5,37,0,-1,2,5,4.5,3,2016,-1,-1,28467,-1,0,2129,2129,5,147,1
43,0,0.0,0,2,0,0,0,9,2,1,215,0,-1,1,6,5.0,2,2020,-1,-1,543,-1,0,1353,1352,6,6,1
44,0,4.5,9,9,0,0,0,5,0,3,462,0,0,0,7,4.5,3,2014,-1,-1,1396,-1,0,0,0,0,22,1
45,0,4.0,8,8,0,0,0,4,0,2,542,0,0,1,5,4.5,2,2022,-1,-1,35083,-1,0,0,0,0,16,1
46,0,4.5,59,64,0,0,1,4,0,4,207,0,0,11,6,4.5,3,2014,-1,-1,3848,-1,0,0,0,0,163,1
47,0,4.5,54,56,49,16,0,8,0,2,84,0,-1,1,5,4.5,2,2020,-1,-1,23940,-1,0,1568,1568,4,133,1
48,0,5.0,31,35,0,0,1,7,2,4,27,0,0,3,1,5.0,2,2011,-1,-1,84,-1,0,0,0,0,79,1
49,0,5.0,15,16,21,8,0,4,0,2,540,0,-1,0,5,4.5,2,2021,-1,-1,35083,-1,0,2236,2235,7,29,1
50,0,5.0,102,105,0,0,1,5,0,1,434,0,0,19,5,5.0,2,2017,-1,-1,6943,-1,0,0,0,0,194,1
51,0,4.5,253,255,0,0,1,5,0,5,112,0,0,25,5,4.5,3,2013,-1,-1,28467,-1,0,0,0,0,495,1
52,0,4.5,105,108,0,0,1,4,3,4,138,0,0,3,5,4.5,3,2014,-1,-1,28467,-1,0,0,0,0,275,1
53,0,5.0,3,4,9,0,0,6,0,2,138,0,-1,0,5,4.5,2,2022,-1,-1,156986,-1,0,2115,2115,7,17,1
54,0,4.5,12,13,0,0,0,6,0,2,0,0,-1,1,5,4.5,2,2022,-1,-1,156986,-1,0,2115,2115,7,37,1
55,0,5.0,7,10,0,0,0,6,0,2,185,0,-1,2,5,4.5,2,2022,-1,-1,156986,-1,0,2115,2115,8,25,1
56,0,4.5,25,26,26,13,0,4,0,1,536,0,0,0,5,4.5,2,2019,-1,-1,35083,-1,0,0,0,0,101,1
57,0,0.0,0,3,16,1,1,4,0,3,48,0,0,0,1,0.0,2,2019,-1,-1,0,-1,0,0,0,0,0,1
58,0,4.5,7,8,0,0,0,6,0,2,212,0,0,2,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,16,1
59,0,4.5,26,27,35,9,0,8,0,3,462,0,0,0,7,4.5,3,2014,-1,-1,1396,-1,0,0,0,0,52,1
60,0,4.0,6,9,0,0,0,3,0,2,540,0,-1,0,5,4.5,2,2021,-1,-1,35083,-1,0,2236,2235,7,26,1
61,0,5.0,45,48,0,0,0,5,0,3,0,0,0,1,3,4.5,3,2015,-1,-1,5986,-1,0,0,0,0,125,1
62,0,5.0,1,1,5,2,0,5,0,4,0,0,-1,0,5,4.5,2,2015,-1,-1,4312,-1,0,1477,1477,4,3,1
63,0,4.5,160,160,0,0,1,5,0,4,51,0,-1,10,5,4.5,3,2014,-1,-1,28467,-1,0,2129,2129,3,390,1
64,0,5.0,5,7,13,2,0,6,0,2,212,0,-1,0,5,4.5,2,2022,-1,-1,156986,-1,0,2115,2115,9,31,1
65,0,5.0,12,12,0,0,0,6,0,2,159,0,0,4,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,36,1
66,0,4.0,50,50,0,0,0,2,0,1,0,0,0,4,6,4.5,3,2014,-1,-1,1086,-1,0,0,0,0,128,1
67,0,4.5,36,39,0,0,1,8,1,2,104,0,-1,0,5,4.5,0,2021,-1,-1,28467,-1,0,2129,2129,7,79,1
68,0,4.5,125,128,0,0,1,5,0,3,44,0,0,7,5,4.5,3,2014,-1,-1,28467,-1,0,0,0,0,309,1
69,0,5.0,12,14,20,7,1,4,0,2,44,0,0,0,5,4.5,2,2022,-1,-1,28467,-1,0,0,0,0,28,1
70,0,5.0,64,67,0,0,0,7,0,2,0,0,-1,2,5,4.5,2,2020,-1,-1,23940,-1,0,1568,1568,4,172,1
71,0,5.0,34,34,0,0,0,5,0,2,187,0,0,5,5,4.5,2,2021,-1,-1,156986,-1,0,0,0,0,104,1
72,0,4.5,84,88,0,0,0,4,0,1,535,0,0,10,5,4.5,2,2018,-1,-1,35083,-1,0,0,0,0,252,1
73,0,4.0,10,11,0,0,0,7,3,2,92,0,0,1,6,5.0,2,2021,-1,-1,2330,-1,0,0,0,0,22,1
74,0,4.5,32,32,0,0,0,5,0,2,213,0,0,1,5,4.5,2,2021,-1,-1,156986,-1,0,0,0,0,107,1
75,0,4.5,16,19,0,0,0,5,0,1,142,0,0,2,7,4.5,2,2017,-1,-1,1350,-1,0,0,0,0,38,1
76,0,4.0,8,8,0,0,0,4,0,2,542,0,0,1,5,4.5,2,2022,-1,-1,35083,-1,0,0,0,0,16,1
77,0,4.5,69,73,0,0,1,2,0,2,63,0,0,4,5,4.5,2,2020,-1,-1,28467,-1,0,0,0,0,165,1
78,0,0.0,0,1,0,0,0,5,0,2,192,0,0,0,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,16,1
79,0,4.0,9,9,0,0,0,6,1,2,165,0,0,1,5,4.5,2,2021,-1,-1,156986,-1,0,0,0,0,40,1
80,0,5.0,102,105,0,0,1,5,0,1,434,0,0,19,5,5.0,2,2017,-1,-1,6943,-1,0,0,0,0,193,1
81,0,0.0,0,2,0,0,0,9,2,1,215,0,-1,1,6,5.0,2,2020,-1,-1,543,-1,0,1353,1352,6,5,1
82,0,4.5,59,64,0,0,1,4,0,4,207,0,0,11,6,4.5,3,2014,-1,-1,3848,-1,0,0,0,0,163,1
83,0,5.0,10,12,0,0,0,6,0,2,162,0,0,13,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,66,1
84,0,4.5,31,32,0,0,0,4,1,2,492,0,-1,3,5,4.5,0,2020,-1,-1,35083,-1,0,2236,2235,7,78,1
85,0,4.5,7,9,0,0,0,6,0,2,162,0,0,0,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,22,1
86,0,4.5,24,25,0,0,1,4,0,4,29,0,0,1,3,4.5,2,2013,-1,-1,82,-1,0,0,0,0,47,1
87,0,5.0,2,3,0,0,0,5,0,2,162,0,0,1,5,4.5,2,2022,-1,-1,156986,-1,0,0,0,0,20,1
88,0,4.5,51,53,0,0,0,4,0,1,552,0,0,10,5,4.5,2,2017,-1,-1,35083,-1,0,0,0,0,135,1
89,0,5.0,88,90,0,0,0,7,0,2,84,0,0,7,5,4.5,2,2020,-1,-1,23940,-1,0,0,0,0,179,1
90,0,4.5,65,68,0,0,0,5,0,4,3,0,0,8,5,4.5,2,2011,-1,-1,4312,-1,0,0,0,0,164,1
91,0,4.5,19,23,0,0,0,7,0,3,462,0,0,0,7,4.5,3,2014,-1,-1,1396,-1,0,0,0,0,50,1
92,0,5.0,3,4,0,0,0,8,3,2,92,0,-1,0,6,5.0,2,2021,-1,-1,2330,-1,0,1728,1728,6,12,1
93,0,5.0,7,11,13,4,0,5,0,2,162,0,-1,1,5,4.5,2,2022,-1,-1,156986,-1,0,2115,2115,7,33,1
